ID,Price,Sqft_m2,RatioEurM,Rooms,Toilets,Area,Elevator,Parking,Heating,CoolAir,Construction,Balcony
i998003305365,590000,70,8429,3,2,Esquerra Alta de l´Eixample,Yes,No,Yes,No,New,Yes
i9941003874572,320000,105,3048,4,1,Guinardó,Yes,No,Yes,Yes,Not New,No
i9941003874569,269000,76,3539,3,2,Guinardó,Yes,No,Yes,No,Not New,No
i9941003874569,269000,76,3539,3,2,Guinardó,Yes,No,Yes,No,Not New,No
i9941003874557,239000,79,3025,2,1,Congrés - Indians,Yes,No,Yes,Yes,Not New,No
i9919002529283,272000,69,3942,3,1,La Sagrera,Yes,No,Yes,Yes,Not New,No
i9919002529273,490000,120,4083,4,2,Fort Pienc,Yes,No,Yes,No,Not New,No
i9919002529269,800000,174,4598,4,2,Sant Gervasi - Galvany,Yes,Yes,Yes,Yes,Not New,Yes
i9919002529269,800000,174,4598,4,2,Sant Gervasi - Galvany,Yes,Yes,Yes,Yes,Not New,Yes
i9919002529265,349000,80,4363,3,2,Fort Pienc,Yes,No,No,Yes,Not New,No
i9919002529261,325000,74,4392,4,1,Sagrada Família,Yes,No,Yes,Yes,Not New,No
i9919002529261,325000,74,4392,4,1,Sagrada Família,Yes,No,Yes,Yes,Not New,No
i9919002529259,459000,92,4989,3,2,Fort Pienc,Yes,No,Yes,No,Not New,Yes
i9919002529244,500000,97,5155,4,2,Sant Gervasi - Galvany,Yes,No,Yes,No,Not New,Yes
i9919002529244,500000,97,5155,4,2,Sant Gervasi - Galvany,Yes,No,Yes,No,Not New,Yes
i9919002529243,500000,95,5263,4,2,Sant Gervasi - Galvany,Yes,No,Yes,No,Not New,Yes
i9919002529216,215000,60,3583,1,1,Gòtic,No,No,No,No,Not New,No
i9919002529216,215000,60,3583,1,1,Gòtic,No,No,No,No,Not New,No
i9919002529146,260000,82,3171,3,2,La Sagrera,Yes,No,No,Yes,Not New,Yes
i9919002529146,260000,82,3171,3,2,La Sagrera,Yes,No,No,Yes,Not New,Yes
i9919002529095,640000,210,3048,4,3,Esquerra Alta de l´Eixample,Yes,No,Yes,No,Not New,Yes
i9919002529015,175000,87,2011,3,1,Llefià,Yes,No,Yes,No,Not New,No
i9914003966320,275000,61,4508,3,1,Camp de l´Arpa,Yes,No,No,No,Not New,No
i9914003966320,275000,61,4508,3,1,Camp de l´Arpa,Yes,No,No,No,Not New,No
i9912003966131,183000,76,2408,4,1,La Verneda - La Pau,Yes,No,No,No,Not New,Yes
i9912003964762,189000,65,2908,3,1,Horta,Yes,No,Yes,No,Not New,No
i9912003964762,189000,65,2908,3,1,Horta,Yes,No,Yes,No,Not New,No
i9912003955813,210000,60,3500,4,1,Fort Pienc,Yes,No,No,No,Not New,No
i9912003954142,141000,60,2350,3,1,Verdun,No,No,Yes,No,Not New,Yes
i9912003954142,141000,60,2350,3,1,Verdun,No,No,Yes,No,Not New,Yes
i9912003946046,180000,65,2769,3,1,Porta,Yes,No,No,No,Not New,Yes
i9912003946046,180000,65,2769,3,1,Porta,Yes,No,No,No,Not New,Yes
i9912003937075,149500,60,2492,3,1,Verdun,Yes,No,No,No,Not New,No
i9912003937075,149500,60,2492,3,1,Verdun,Yes,No,No,No,Not New,No
i9912003936328,218000,73,2986,3,1,Provençals del Poblenou,Yes,No,No,No,Not New,No
i9912003909709,121000,46,2630,1,1,Porta,Yes,No,Yes,No,Not New,No
